Year,Names,Number,Rank
2021,Armaan,12,370
2021,Ayden,12,370
2021,Aziel,12,370
2021,Bennett,12,370
2021,Carlos,12,370
2021,Easton,12,370
2021,Fraser,12,370
2021,Jagger,12,370
2021,Johan,12,370
2021,Kenzo,12,370
2021,Koby,12,370
2021,Kymani,12,370
2021,Leonidas,12,370
2021,Mack,12,370
2021,Maika,12,370
2021,Paxton,12,370
2021,Reece,12,370
2021,Tate,12,370
2021,Tawera,12,370
2021,Tiaki,12,370
2021,Troy,12,370
2021,Zachariah,12,370
2021,Zavier,12,370
2021,Zephyr,12,370
2021,Antonio,11,395
2021,Bowen,11,395
2021,Fateh,11,395
2021,Finnley,11,395
2021,Frankie,11,395
2021,Gideon,11,395
2021,Harlem,11,395
2021,Hezekiah,11,395
2021,Ibrahim,11,395
2021,Jeremy,11,395
2021,Jiraiya,11,395
2021,Jordie,11,395
2021,Leonard,11,395
2021,Manu,11,395
2021,Marshall,11,395
2021,Maximilian,11,395
2021,Nate,11,395
2021,Nicolas,11,395
2021,Nolan,11,395
2021,Ronan,11,395
2021,Seth,11,395
2021,Simon,11,395
2021,TJ,11,395
2021,Tama,11,395
2021,Tipene,11,395
2021,Titan,11,395
2021,Advik,10,421
2021,Agam,10,421
2021,Alby,10,421
2021,Anaru,10,421
2021,Aston,10,421
2021,Atticus,10,421
2021,Bronson,10,421
2021,Caden,10,421
2021,Chance,10,421
2021,Colin,10,421
2021,Conrad,10,421
2021,Edwin,10,421
2021,Giovanni,10,421
2021,Ishaan,10,421
2021,Jay,10,421
2021,Jed,10,421
2021,Justin,10,421
2021,Kawariki,10,421
2021,Kayson,10,421
2021,Kendrick,10,421
2021,Kohen,10,421
2021,Landon,10,421
2021,Legend,10,421
2021,Leighton,10,421
2021,Mana,10,421
2021,Marco,10,421
2021,Marlow,10,421
2021,Nkau,10,421
2021,Oskar,10,421
2021,Ranveer,10,421
2021,Ratu,10,421
2021,Reggie,10,421
2021,Robin,10,421
2021,Rohan,10,421
2021,Ronin,10,421
2021,Rudra,10,421
2021,Tanner,10,421
2021,Tawhiri,10,421
2021,Vivaan,10,421
2021,Zander,10,421
2020,Oliver,315,1
2020,Jack,261,2
2020,Noah,240,3
2020,Leo,235,4
2020,Lucas,206,5
2020,George,197,6
2020,Charlie,183,7
2020,Thomas,175,8
2020,William,175,8
2020,Hunter,174,10
2020,Elijah,170,11
2020,Cooper,163,12
2020,James,157,13
2020,Lachlan,157,13
2020,Theodore,157,13
2020,Arlo,156,16
2020,Mason,153,17
2020,Liam,152,18
2020,Oscar,148,19
2020,Hudson,140,20
2020,Archie,135,21
2020,Benjamin,130,22
